,Model,Sampling_Method,PCA_Used,Normalized,One Hot Encoder,Number_of_Features,Accuracy_score,Precision_score,Recall_score
0,LogisticRegression,No,No,No,Yes,Full,0.8461538461538461,0.8349514563106796,0.9885057471264368
1,DecisionTree,No,No,No,Yes,Full,0.8547008547008547,0.8365384615384616,1.0
2,RandomForest,No,No,No,Yes,Full,0.8034188034188035,0.826530612244898,0.9310344827586207
3,XGBClassifier,No,No,No,Yes,Full,0.811965811965812,0.8350515463917526,0.9310344827586207
4,Support Vector Machine,No,No,No,Yes,Full,0.7435897435897436,0.7435897435897436,1.0
5,LogisticRegression,No,No,No,No,Full,0.8034188034188035,0.78,0.9873417721518988
6,DecisionTree,No,No,No,No,Full,0.7863247863247863,0.78125,0.9493670886075949
7,RandomForest,No,No,No,No,Full,0.7948717948717948,0.7894736842105263,0.9493670886075949
8,XGBClassifier,No,No,No,No,Full,0.7777777777777778,0.7849462365591398,0.9240506329113924
9,Support Vector Machine,No,No,No,No,Full,0.6752136752136753,0.6752136752136753,1.0
10,LogisticRegression,Smote,No,No,Yes,Full,0.8271604938271605,0.7706422018348624,0.9655172413793104
11,DecisionTree,Smote,No,No,Yes,Full,0.8518518518518519,0.7889908256880734,0.9885057471264368
12,RandomForest,Smote,No,No,Yes,Full,0.8827160493827161,0.8333333333333334,0.9770114942528736
13,XGBClassifier,Smote,No,No,Yes,Full,0.845679012345679,0.8297872340425532,0.896551724137931
14,Support Vector Machine,Smote,No,No,Yes,Full,0.49382716049382713,0.631578947368421,0.13793103448275862
15,LogisticRegression,Oversampling,No,No,Yes,Full,0.808641975308642,0.7745098039215687,0.9080459770114943
16,DecisionTree,Oversampling,No,No,Yes,Full,0.8024691358024691,0.7433628318584071,0.9655172413793104
17,RandomForest,Oversampling,No,No,Yes,Full,0.8888888888888888,0.9259259259259259,0.8620689655172413
18,XGBClassifier,Oversampling,No,No,Yes,Full,0.8827160493827161,0.925,0.8505747126436781
19,Support Vector Machine,Oversampling,No,No,Yes,Full,0.4691358024691358,0.5142857142857142,0.20689655172413793
20,LogisticRegression,Smote,No,No,No,Full,0.808641975308642,0.7789473684210526,0.8809523809523809
21,DecisionTree,Smote,No,No,No,Full,0.808641975308642,0.7523809523809524,0.9404761904761905
22,RandomForest,Smote,No,No,No,Full,0.8395061728395061,0.8372093023255814,0.8571428571428571
23,XGBClassifier,Smote,No,No,No,Full,0.8333333333333334,0.8275862068965517,0.8571428571428571
24,Support Vector Machine,Smote,No,No,No,Full,0.5617283950617284,0.6666666666666666,0.30952380952380953
25,LogisticRegression,Oversampling,No,No,No,Full,0.7098765432098766,0.6886792452830188,0.8390804597701149
26,DecisionTree,Oversampling,No,No,No,Full,0.7407407407407407,0.6859504132231405,0.9540229885057471
27,RandomForest,Oversampling,No,No,No,Full,0.8641975308641975,0.8571428571428571,0.896551724137931
28,XGBClassifier,Oversampling,No,No,No,Full,0.8395061728395061,0.8505747126436781,0.8505747126436781
29,Support Vector Machine,Oversampling,No,No,No,Full,0.4691358024691358,0.5081967213114754,0.3563218390804598
30,LogisticRegression,No,No,Yes,Yes,Full,0.811965811965812,0.8,0.975609756097561
31,DecisionTree,No,No,Yes,Yes,Full,0.8205128205128205,0.8144329896907216,0.9634146341463414
32,RandomForest,No,No,Yes,Yes,Full,0.811965811965812,0.8125,0.9512195121951219
33,XGBClassifier,No,No,Yes,Yes,Full,0.7777777777777778,0.8181818181818182,0.8780487804878049
34,Support Vector Machine,No,No,Yes,Yes,Full,0.811965811965812,0.8,0.975609756097561
35,LogisticRegression,Smote,No,Yes,Yes,Full,0.808641975308642,0.8021978021978022,0.8488372093023255
36,DecisionTree,Smote,No,Yes,Yes,Full,0.8827160493827161,0.8252427184466019,0.9883720930232558
37,RandomForest,Smote,No,Yes,Yes,Full,0.9012345679012346,0.9069767441860465,0.9069767441860465
38,XGBClassifier,Smote,No,Yes,Yes,Full,0.8827160493827161,0.9036144578313253,0.872093023255814
39,Support Vector Machine,Smote,No,Yes,Yes,Full,0.8271604938271605,0.7843137254901961,0.9302325581395349
40,LogisticRegression,Oversampling,No,Yes,Yes,Full,0.808641975308642,0.7358490566037735,0.9629629629629629
41,DecisionTree,Oversampling,No,Yes,Yes,Full,0.7654320987654321,0.680672268907563,1.0
42,RandomForest,Oversampling,No,Yes,Yes,Full,0.9506172839506173,0.9506172839506173,0.9506172839506173
43,XGBClassifier,Oversampling,No,Yes,Yes,Full,0.9197530864197531,0.9358974358974359,0.9012345679012346
44,Support Vector Machine,Oversampling,No,Yes,Yes,Full,0.7716049382716049,0.6964285714285714,0.9629629629629629
45,LogisticRegression,No,No,Yes,No,Full,0.8717948717948718,0.851063829787234,0.9876543209876543
46,DecisionTree,No,No,Yes,No,Full,0.8461538461538461,0.8461538461538461,0.9506172839506173
47,RandomForest,No,No,Yes,No,Full,0.8376068376068376,0.8522727272727273,0.9259259259259259
48,XGBClassifier,No,No,Yes,No,Full,0.8632478632478633,0.8735632183908046,0.9382716049382716
49,Support Vector Machine,No,No,Yes,No,Full,0.8547008547008547,0.8333333333333334,0.9876543209876543
50,LogisticRegression,Smote,No,Yes,No,Full,0.8148148148148148,0.7551020408163265,0.925
51,DecisionTree,Smote,No,Yes,No,Full,0.7716049382716049,0.7311827956989247,0.85
52,RandomForest,Smote,No,Yes,No,Full,0.8271604938271605,0.782608695652174,0.9
53,XGBClassifier,Smote,No,Yes,No,Full,0.8209876543209876,0.7802197802197802,0.8875
54,Support Vector Machine,Smote,No,Yes,No,Full,0.7716049382716049,0.7128712871287128,0.9
55,LogisticRegression,Oversampling,No,Yes,No,Full,0.7098765432098766,0.6122448979591837,0.8695652173913043
56,DecisionTree,Oversampling,No,Yes,No,Full,0.7283950617283951,0.6126126126126126,0.9855072463768116
57,RandomForest,Oversampling,No,Yes,No,Full,0.9012345679012346,0.863013698630137,0.9130434782608695
58,XGBClassifier,Oversampling,No,Yes,No,Full,0.8950617283950617,0.8611111111111112,0.8985507246376812
59,Support Vector Machine,Oversampling,No,Yes,No,Full,0.7654320987654321,0.6534653465346535,0.9565217391304348
60,LogisticRegression,Oversampling,Yes,Yes,Yes,8 componant,0.6975308641975309,0.6633663366336634,0.8170731707317073
61,DecisionTree,Oversampling,Yes,Yes,Yes,8 componant,0.691358024691358,0.6481481481481481,0.8536585365853658
62,RandomForest,Oversampling,Yes,Yes,Yes,8 componant,0.8580246913580247,0.9041095890410958,0.8048780487804879
63,XGBClassifier,Oversampling,Yes,Yes,Yes,8 componant,0.8518518518518519,0.9027777777777778,0.7926829268292683
64,Support Vector Machine,Oversampling,Yes,Yes,Yes,8 componant,0.7283950617283951,0.6696428571428571,0.9146341463414634
65,LogisticRegression,No,No,No,Yes,7 from Kbest,0.8376068376068376,0.8181818181818182,0.9878048780487805
66,DecisionTree,No,No,No,Yes,7 from Kbest,0.811965811965812,0.8125,0.9512195121951219
67,RandomForest,No,No,No,Yes,7 from Kbest,0.7606837606837606,0.8214285714285714,0.8414634146341463
68,XGBClassifier,No,No,No,Yes,7 from Kbest,0.7606837606837606,0.813953488372093,0.8536585365853658
69,Support Vector Machine,No,No,No,Yes,7 from Kbest,0.7008547008547008,0.7008547008547008,1.0
70,LogisticRegression,No,No,No,Yes,8 from RandomForest,0.8461538461538461,0.8125,1.0
71,DecisionTree,No,No,No,Yes,8 from RandomForest,0.8376068376068376,0.8105263157894737,0.9871794871794872
72,RandomForest,No,No,No,Yes,8 from RandomForest,0.8632478632478633,0.8297872340425532,1.0
73,XGBClassifier,No,No,No,Yes,8 from RandomForest,0.8461538461538461,0.8260869565217391,0.9743589743589743
74,Support Vector Machine,No,No,No,Yes,8 from RandomForest,0.6666666666666666,0.6666666666666666,1.0
75,LogisticRegression,No,No,No,Yes,8 without duplicate,0.6410256410256411,0.6410256410256411,1.0
76,DecisionTree,No,No,No,Yes,8 without duplicate,0.7777777777777778,0.7578947368421053,0.96
77,RandomForest,No,No,No,Yes,8 without duplicate,0.8034188034188035,0.782608695652174,0.96
78,XGBClassifier,No,No,No,Yes,8 without duplicate,0.7948717948717948,0.7741935483870968,0.96
79,Support Vector Machine,No,No,No,Yes,8 without duplicate,0.6410256410256411,0.6410256410256411,1.0
80,LogisticRegression,No,No,No,No,6 from Kbest,0.7521367521367521,0.7521367521367521,1.0
81,DecisionTree,No,No,No,No,6 from Kbest,0.8034188034188035,0.8282828282828283,0.9318181818181818
82,RandomForest,No,No,No,No,6 from Kbest,0.7948717948717948,0.826530612244898,0.9204545454545454
83,XGBClassifier,No,No,No,No,6 from Kbest,0.7777777777777778,0.8163265306122449,0.9090909090909091
84,Support Vector Machine,No,No,No,No,6 from Kbest,0.7521367521367521,0.7521367521367521,1.0
85,LogisticRegression,No,No,No,No,8 from RandomForest,0.7094017094017094,0.7155963302752294,0.9629629629629629
86,DecisionTree,No,No,No,No,8 from RandomForest,0.8376068376068376,0.8163265306122449,0.9876543209876543
87,RandomForest,No,No,No,No,8 from RandomForest,0.8547008547008547,0.8333333333333334,0.9876543209876543
88,XGBClassifier,No,No,No,No,8 from RandomForest,0.8290598290598291,0.8351648351648352,0.9382716049382716
89,Support Vector Machine,No,No,No,No,8 from RandomForest,0.6923076923076923,0.6923076923076923,1.0
90,LogisticRegression,Smote,No,No,Yes,7 from Kbest,0.7901234567901234,0.7226890756302521,0.9885057471264368
91,DecisionTree,Smote,No,No,Yes,7 from Kbest,0.8395061728395061,0.7904761904761904,0.9540229885057471
92,RandomForest,Smote,No,No,Yes,7 from Kbest,0.7654320987654321,0.7692307692307693,0.8045977011494253
93,XGBClassifier,Smote,No,No,Yes,7 from Kbest,0.8271604938271605,0.8105263157894737,0.8850574712643678
94,Support Vector Machine,Smote,No,No,Yes,7 from Kbest,0.46296296296296297,0.0,0.0
95,LogisticRegression,Smote,No,No,Yes,8 from RandomForest,0.7962962962962963,0.7407407407407407,0.9411764705882353
96,DecisionTree,Smote,No,No,Yes,8 from RandomForest,0.808641975308642,0.7410714285714286,0.9764705882352941
97,RandomForest,Smote,No,No,Yes,8 from RandomForest,0.8209876543209876,0.7978723404255319,0.8823529411764706
98,XGBClassifier,Smote,No,No,Yes,8 from RandomForest,0.8333333333333334,0.8152173913043478,0.8823529411764706
99,Support Vector Machine,Smote,No,No,Yes,8 from RandomForest,0.4691358024691358,0.4878048780487805,0.23529411764705882
100,LogisticRegression,Smote,No,No,Yes,8 without duplicate,0.8703703703703703,0.8317757009345794,0.967391304347826
101,DecisionTree,Smote,No,No,Yes,8 without duplicate,0.8765432098765432,0.8333333333333334,0.9782608695652174
102,RandomForest,Smote,No,No,Yes,8 without duplicate,0.8395061728395061,0.8928571428571429,0.8152173913043478
103,XGBClassifier,Smote,No,No,Yes,8 without duplicate,0.8395061728395061,0.9024390243902439,0.8043478260869565
104,Support Vector Machine,Smote,No,No,Yes,8 without duplicate,0.43209876543209874,0.5,0.17391304347826086
105,LogisticRegression,Oversampling,No,No,Yes,7 from Kbest,0.7469135802469136,0.688,0.9772727272727273
106,DecisionTree,Oversampling,No,No,Yes,7 from Kbest,0.7530864197530864,0.6935483870967742,0.9772727272727273
107,RandomForest,Oversampling,No,No,Yes,7 from Kbest,0.808641975308642,0.8904109589041096,0.7386363636363636
108,XGBClassifier,Oversampling,No,No,Yes,7 from Kbest,0.7777777777777778,0.825,0.75
109,Support Vector Machine,Oversampling,No,No,Yes,7 from Kbest,0.4567901234567901,0.5,0.011363636363636364
110,LogisticRegression,Oversampling,No,No,Yes,8 from RandomForest,0.8024691358024691,0.7394957983193278,0.9887640449438202
111,DecisionTree,Oversampling,No,No,Yes,8 from RandomForest,0.8333333333333334,0.7719298245614035,0.9887640449438202
112,RandomForest,Oversampling,No,No,Yes,8 from RandomForest,0.9074074074074074,0.9512195121951219,0.8764044943820225
113,XGBClassifier,Oversampling,No,No,Yes,8 from RandomForest,0.9320987654320988,0.9642857142857143,0.9101123595505618
114,Support Vector Machine,Oversampling,No,No,Yes,8 from RandomForest,0.49382716049382713,0.5813953488372093,0.2808988764044944
115,LogisticRegression,Oversampling,No,No,Yes,8 without duplicate,0.7716049382716049,0.7068965517241379,0.9647058823529412
116,DecisionTree,Oversampling,No,No,Yes,8 without duplicate,0.7716049382716049,0.7068965517241379,0.9647058823529412
117,RandomForest,Oversampling,No,No,Yes,8 without duplicate,0.9259259259259259,0.9620253164556962,0.8941176470588236
118,XGBClassifier,Oversampling,No,No,Yes,8 without duplicate,0.9074074074074074,0.9605263157894737,0.8588235294117647
119,Support Vector Machine,Oversampling,No,No,Yes,8 without duplicate,0.47530864197530864,0.5,0.24705882352941178
120,LogisticRegression,Smote,No,No,No,6 from Kbest,0.7839506172839507,0.7019230769230769,0.948051948051948
121,DecisionTree,Smote,No,No,No,6 from Kbest,0.808641975308642,0.7211538461538461,0.974025974025974
122,RandomForest,Smote,No,No,No,6 from Kbest,0.7839506172839507,0.7560975609756098,0.8051948051948052
123,XGBClassifier,Smote,No,No,No,6 from Kbest,0.7839506172839507,0.7560975609756098,0.8051948051948052
124,Support Vector Machine,Smote,No,No,No,6 from Kbest,0.4506172839506173,0.4552238805970149,0.7922077922077922
125,LogisticRegression,Smote,No,No,No,8 from RandomForest,0.7407407407407407,0.6952380952380952,0.8795180722891566
126,DecisionTree,Smote,No,No,No,8 from RandomForest,0.8148148148148148,0.7476635514018691,0.963855421686747
127,RandomForest,Smote,No,No,No,8 from RandomForest,0.8703703703703703,0.8522727272727273,0.9036144578313253
128,XGBClassifier,Smote,No,No,No,8 from RandomForest,0.808641975308642,0.8333333333333334,0.7831325301204819
129,Support Vector Machine,Smote,No,No,No,8 from RandomForest,0.5246913580246914,0.5625,0.3253012048192771
130,LogisticRegression,Oversampling,No,No,No,6 from Kbest,0.7283950617283951,0.6460176991150443,0.948051948051948
131,DecisionTree,Oversampling,No,No,No,6 from Kbest,0.7345679012345679,0.6517857142857143,0.948051948051948
132,RandomForest,Oversampling,No,No,No,6 from Kbest,0.8148148148148148,0.8405797101449275,0.7532467532467533
133,XGBClassifier,Oversampling,No,No,No,6 from Kbest,0.7962962962962963,0.8235294117647058,0.7272727272727273
134,Support Vector Machine,Oversampling,No,No,No,6 from Kbest,0.5123456790123457,0.49230769230769234,0.8311688311688312
135,LogisticRegression,Oversampling,No,No,No,8 from RandomForest,0.7160493827160493,0.6545454545454545,0.9
136,DecisionTree,Oversampling,No,No,No,8 from RandomForest,0.7592592592592593,0.6814159292035398,0.9625
137,RandomForest,Oversampling,No,No,No,8 from RandomForest,0.8703703703703703,0.8933333333333333,0.8375
138,XGBClassifier,Oversampling,No,No,No,8 from RandomForest,0.8765432098765432,0.9054054054054054,0.8375
139,Support Vector Machine,Oversampling,No,No,No,8 from RandomForest,0.5,0.4927536231884058,0.425
140,LogisticRegression,No,No,Yes,Yes,7 from Kbest,0.8632478632478633,0.8367346938775511,1.0
141,DecisionTree,No,No,Yes,Yes,7 from Kbest,0.8547008547008547,0.8350515463917526,0.9878048780487805
142,RandomForest,No,No,Yes,Yes,7 from Kbest,0.7863247863247863,0.8131868131868132,0.9024390243902439
143,XGBClassifier,No,No,Yes,Yes,7 from Kbest,0.7350427350427351,0.7865168539325843,0.8536585365853658
144,Support Vector Machine,No,No,Yes,Yes,7 from Kbest,0.8547008547008547,0.8350515463917526,0.9878048780487805
145,LogisticRegression,No,No,Yes,Yes,8 from RandomForest,0.8376068376068376,0.8061224489795918,1.0
146,DecisionTree,No,No,Yes,Yes,8 from RandomForest,0.811965811965812,0.7938144329896907,0.9746835443037974
147,RandomForest,No,No,Yes,Yes,8 from RandomForest,0.8205128205128205,0.8020833333333334,0.9746835443037974
148,XGBClassifier,No,No,Yes,Yes,8 from RandomForest,0.7948717948717948,0.7956989247311828,0.9367088607594937
149,Support Vector Machine,No,No,Yes,Yes,8 from RandomForest,0.8290598290598291,0.797979797979798,1.0
150,LogisticRegression,No,No,Yes,Yes,8 without duplicate,0.8632478632478633,0.8526315789473684,0.9759036144578314
151,DecisionTree,No,No,Yes,Yes,8 without duplicate,0.8290598290598291,0.8461538461538461,0.927710843373494
152,RandomForest,No,No,Yes,Yes,8 without duplicate,0.8376068376068376,0.872093023255814,0.9036144578313253
153,XGBClassifier,No,No,Yes,Yes,8 without duplicate,0.8205128205128205,0.8780487804878049,0.8674698795180723
154,Support Vector Machine,No,No,Yes,Yes,8 without duplicate,0.8632478632478633,0.845360824742268,0.9879518072289156
155,LogisticRegression,Smote,No,Yes,Yes,7 from Kbest,0.7901234567901234,0.7410714285714286,0.9431818181818182
156,DecisionTree,Smote,No,Yes,Yes,7 from Kbest,0.8333333333333334,0.7850467289719626,0.9545454545454546
157,RandomForest,Smote,No,Yes,Yes,7 from Kbest,0.8148148148148148,0.8295454545454546,0.8295454545454546
158,XGBClassifier,Smote,No,Yes,Yes,7 from Kbest,0.7901234567901234,0.8068181818181818,0.8068181818181818
159,Support Vector Machine,Smote,No,Yes,Yes,7 from Kbest,0.7839506172839507,0.7387387387387387,0.9318181818181818
160,LogisticRegression,Smote,No,Yes,Yes,8 from RandomForest,0.7962962962962963,0.7027027027027027,1.0
161,DecisionTree,Smote,No,Yes,Yes,8 from RandomForest,0.8148148148148148,0.7264150943396226,0.9871794871794872
162,RandomForest,Smote,No,Yes,Yes,8 from RandomForest,0.8580246913580247,0.8021978021978022,0.9358974358974359
163,XGBClassifier,Smote,No,Yes,Yes,8 from RandomForest,0.8333333333333334,0.8,0.8717948717948718
164,Support Vector Machine,Smote,No,Yes,Yes,8 from RandomForest,0.7777777777777778,0.6909090909090909,0.9743589743589743
165,LogisticRegression,Smote,No,Yes,Yes,8 without duplicate,0.7407407407407407,0.6666666666666666,0.9367088607594937
166,DecisionTree,Smote,No,Yes,Yes,8 without duplicate,0.7716049382716049,0.6909090909090909,0.9620253164556962
167,RandomForest,Smote,No,Yes,Yes,8 without duplicate,0.845679012345679,0.8,0.9113924050632911
168,XGBClassifier,Smote,No,Yes,Yes,8 without duplicate,0.8271604938271605,0.8,0.8607594936708861
169,Support Vector Machine,Smote,No,Yes,Yes,8 without duplicate,0.7222222222222222,0.6517857142857143,0.9240506329113924
170,LogisticRegression,Oversampling,No,Yes,Yes,7 from Kbest,0.7962962962962963,0.7333333333333333,0.9887640449438202
171,DecisionTree,Oversampling,No,Yes,Yes,7 from Kbest,0.8024691358024691,0.7394957983193278,0.9887640449438202
172,RandomForest,Oversampling,No,Yes,Yes,7 from Kbest,0.7962962962962963,0.8333333333333334,0.7865168539325843
173,XGBClassifier,Oversampling,No,Yes,Yes,7 from Kbest,0.7654320987654321,0.7931034482758621,0.7752808988764045
174,Support Vector Machine,Oversampling,No,Yes,Yes,7 from Kbest,0.8209876543209876,0.7631578947368421,0.9775280898876404
175,LogisticRegression,Oversampling,No,Yes,Yes,8 from RandomForest,0.7839506172839507,0.7355371900826446,0.967391304347826
176,DecisionTree,Oversampling,No,Yes,Yes,8 from RandomForest,0.8024691358024691,0.7419354838709677,1.0
177,RandomForest,Oversampling,No,Yes,Yes,8 from RandomForest,0.9320987654320988,0.9354838709677419,0.9456521739130435
178,XGBClassifier,Oversampling,No,Yes,Yes,8 from RandomForest,0.9259259259259259,0.9444444444444444,0.9239130434782609
179,Support Vector Machine,Oversampling,No,Yes,Yes,8 from RandomForest,0.7777777777777778,0.7333333333333333,0.9565217391304348
180,LogisticRegression,Oversampling,No,Yes,Yes,8 without duplicate,0.7777777777777778,0.7037037037037037,0.95
181,DecisionTree,Oversampling,No,Yes,Yes,8 without duplicate,0.7716049382716049,0.6972477064220184,0.95
182,RandomForest,Oversampling,No,Yes,Yes,8 without duplicate,0.9074074074074074,0.922077922077922,0.8875
183,XGBClassifier,Oversampling,No,Yes,Yes,8 without duplicate,0.9197530864197531,0.935064935064935,0.9
184,Support Vector Machine,Oversampling,No,Yes,Yes,8 without duplicate,0.7901234567901234,0.7254901960784313,0.925
185,LogisticRegression,No,No,Yes,No,6 from Kbest,0.8461538461538461,0.826530612244898,0.9878048780487805
186,DecisionTree,No,No,Yes,No,6 from Kbest,0.8205128205128205,0.8210526315789474,0.9512195121951219
187,RandomForest,No,No,Yes,No,6 from Kbest,0.7948717948717948,0.8222222222222222,0.9024390243902439
188,XGBClassifier,No,No,Yes,No,6 from Kbest,0.811965811965812,0.8260869565217391,0.926829268292683
189,Support Vector Machine,No,No,Yes,No,6 from Kbest,0.8376068376068376,0.8181818181818182,0.9878048780487805
190,LogisticRegression,No,No,Yes,No,8 from RandomForest,0.811965811965812,0.78,1.0
191,DecisionTree,No,No,Yes,No,8 from RandomForest,0.8034188034188035,0.7835051546391752,0.9743589743589743
192,RandomForest,No,No,Yes,No,8 from RandomForest,0.8205128205128205,0.8064516129032258,0.9615384615384616
193,XGBClassifier,No,No,Yes,No,8 from RandomForest,0.8034188034188035,0.8160919540229885,0.9102564102564102
194,Support Vector Machine,No,No,Yes,No,8 from RandomForest,0.811965811965812,0.78,1.0
195,LogisticRegression,Smote,No,Yes,No,6 from Kbest,0.7530864197530864,0.6666666666666666,0.9873417721518988
196,DecisionTree,Smote,No,Yes,No,6 from Kbest,0.808641975308642,0.7181818181818181,1.0
197,RandomForest,Smote,No,Yes,No,6 from Kbest,0.7592592592592593,0.7040816326530612,0.8734177215189873
198,XGBClassifier,Smote,No,Yes,No,6 from Kbest,0.7592592592592593,0.7272727272727273,0.810126582278481
199,Support Vector Machine,Smote,No,Yes,No,6 from Kbest,0.7592592592592593,0.6785714285714286,0.9620253164556962
200,LogisticRegression,Smote,No,Yes,No,8 from RandomForest,0.7839506172839507,0.7522123893805309,0.9239130434782609
201,DecisionTree,Smote,No,Yes,No,8 from RandomForest,0.7962962962962963,0.7706422018348624,0.9130434782608695
202,RandomForest,Smote,No,Yes,No,8 from RandomForest,0.8641975308641975,0.8571428571428571,0.9130434782608695
203,XGBClassifier,Smote,No,Yes,No,8 from RandomForest,0.8827160493827161,0.8842105263157894,0.9130434782608695
204,Support Vector Machine,Smote,No,Yes,No,8 from RandomForest,0.7901234567901234,0.7543859649122807,0.9347826086956522
205,LogisticRegression,Oversampling,No,Yes,No,6 from Kbest,0.7407407407407407,0.6581196581196581,0.9746835443037974
206,DecisionTree,Oversampling,No,Yes,No,6 from Kbest,0.7345679012345679,0.6636363636363637,0.9240506329113924
207,RandomForest,Oversampling,No,Yes,No,6 from Kbest,0.8950617283950617,0.8974358974358975,0.8860759493670886
208,XGBClassifier,Oversampling,No,Yes,No,6 from Kbest,0.8395061728395061,0.8117647058823529,0.8734177215189873
209,Support Vector Machine,Oversampling,No,Yes,No,6 from Kbest,0.7469135802469136,0.6696428571428571,0.9493670886075949
210,LogisticRegression,Oversampling,No,Yes,No,8 from RandomForest,0.8024691358024691,0.7542372881355932,0.967391304347826
211,DecisionTree,Oversampling,No,Yes,No,8 from RandomForest,0.7901234567901234,0.75,0.9456521739130435
212,RandomForest,Oversampling,No,Yes,No,8 from RandomForest,0.9506172839506173,0.9772727272727273,0.9347826086956522
213,XGBClassifier,Oversampling,No,Yes,No,8 from RandomForest,0.9259259259259259,0.9761904761904762,0.8913043478260869
214,Support Vector Machine,Oversampling,No,Yes,No,8 from RandomForest,0.7962962962962963,0.7757009345794392,0.9021739130434783
